SK_ID_CURR,TARGET
100001,0.06538345619510867
100005,0.11735445084545869
100013,0.06797374198253933
100028,0.07088939553667498
100038,0.1179876780995934
100042,0.053721520598990324
100057,0.08070781426151828
100065,0.10026009484848211
100066,0.04875168322182434
100067,0.08509521292853427
100074,0.06399113162423128
100090,0.1086077540399347
100091,0.10531639574925315
100092,0.09208987883981
100106,0.1193197868665963
100107,0.0917573810079669
100109,0.09408653802491618
100117,0.07389526020830094
100128,0.06691234604607911
100141,0.09065906442089118
100150,0.0718804521027099
100168,0.05356101160125396
100169,0.03988424920809961
100170,0.08106120843143973
100171,0.09630558611214572
100172,0.1168391663366719
100184,0.06842716767913715
100187,0.05826804477036993
100212,0.07567115880996404
100222,0.08720514679013408
100223,0.056275319294051725
100232,0.06529671452464919
100241,0.1250455758212543
100245,0.06936569039266467
100253,0.05760653924329143
100256,0.09281719073628436
100271,0.053679815655315696
100278,0.10937135510619996
100280,0.06380999979188852
100306,0.1311446875243133
100311,0.10272126850062535
100312,0.057215373175845484
100330,0.07952137687412429
100331,0.0901074567167175
100352,0.08112772705593671
100358,0.09819564805756117
100367,0.08330516065146817
100382,0.07649510232572787
100384,0.07068655037874723
100385,0.09076201439317814
100386,0.07497290103959468
100399,0.06471885555086396
100404,0.06747641279555168
100416,0.060615559574301855
100422,0.1210800169122225
100426,0.07594774869103146
100438,0.06635715610006841
100444,0.09565280072100041
100445,0.1109218771844997
100446,0.09691346401321177
100447,0.06060515255416439
100450,0.06718961564477635
100466,0.07870352495907953
100483,0.06708286239571597
100484,0.049687546913289124
100494,0.08299903498055913
100510,0.10772835963443912
100512,0.05627539275023227
100517,0.06933346548400705
100548,0.05217403725737832
100551,0.06642636888213584
100552,0.11711280285510894
100553,0.07933755260857535
100561,0.08971554569846113
100568,0.12545692061256636
100569,0.060265505655379865
100591,0.08909233352535759
100592,0.04968921067304379
100602,0.08738200284366397
100607,0.08065158243121438
100613,0.07563958158632304
100617,0.06670384629745399
100618,0.09214752120768976
100622,0.13933505807853677
100625,0.09348314096819973
100677,0.08163284309937512
100699,0.07816059238445981
100702,0.13325292633829794
100711,0.06611711261341822
